DA,DB,DC,k,cC
0.0002140177,0.0001907469,0.0002260874,0.0198555648,0.00005271
0.0001975803,0.0002066799,0.0002149469,0.0191352278,5.09879173524E-05
0.0001974009,0.0002129297,0.0002015234,0.0214633256,6.16082774508E-05
0.000203663,0.000214759,0.0001994365,0.0202994164,6.4094475104E-05
0.0001909348,0.0002052355,0.0002077764,0.0200997067,4.841619299E-05
0.0002121651,0.0001992945,0.0001952335,0.0220283701,6.354694944E-05
0.0002053506,0.000206913,0.0001922777,0.0210731994,6.1675734004E-05
0.0001958823,0.0002023936,0.0002075478,0.0218921282,5.39789387088E-05
0.0001833031,0.0002251393,0.0002068666,0.0195104235,5.52174371648E-05
0.0002092863,0.0002009209,0.000202026,0.0207055231,5.8966914752E-05
0.000202933,0.000210376,0.00020619,0.0196216349,5.8304141732E-05
0.0001782652,0.000194088,0.0001774296,0.0210248653,3.66917106072E-05
0.0001718493,0.0002025261,0.0001862701,0.018254134,3.29978401476E-05
0.0002084341,0.0001945518,0.0001856796,0.0191662318,4.9927062764E-05
0.0002109433,0.0001754803,0.0001871902,0.0225291472,4.6953065794E-05
0.0002201298,0.0001963636,0.0002159584,0.020074242,6.1378434696E-05
0.0001941567,0.0001906252,0.0001993642,0.0205289622,4.23209354804E-05
0.0001962211,0.0002080879,0.0002030601,0.0207630652,5.53442638696E-05
0.0001952793,0.000213259,0.0002088173,0.0198966676,5.59861156208E-05
0.0001947444,0.0001926229,0.0002082536,0.0208660622,4.45464795496E-05
0.0002017499,0.0002003507,0.000187059,0.0207526217,5.3607119004E-05
0.0001919307,0.0002103238,0.0002004509,0.0197907181,0.000051556
0.0001976123,0.0002165787,0.0001955542,0.0203881533,6.1387167752E-05
0.0001999435,0.0002073349,0.0001845206,0.0199607632,5.51397557908E-05
0.0002097136,0.0001881816,0.0001959615,0.0209312105,5.09585515672E-05
0.0002147567,0.0001825403,0.0002027318,0.0192865055,4.65028915168E-05
0.0002101663,0.0001901725,0.0002132423,0.0210842582,0.000052966
0.0002013084,0.0001938738,0.0001923134,0.0206236319,4.8709523384E-05
0.0002106933,0.0002049862,0.0001901462,0.0204709639,6.22898947E-05
0.0002065464,0.0002139724,0.0001913482,0.0217516882,7.022514878E-05
0.0002015588,0.0002020824,0.0001943634,0.0195595186,5.157446572E-05
0.0002008858,0.0001973191,0.0001853446,0.0188178474,4.63077250228E-05
0.0002100165,0.0002126586,0.000213859,0.0202514587,6.7004177232E-05
0.0001846021,0.0002017494,0.0002047455,0.0203211577,4.30747259596E-05
0.0002095249,0.0001931948,0.0001982668,0.0203428421,5.273660888E-05
0.0001995062,0.000196462,0.0001950117,0.0179590351,4.29791115852E-05
0.0001954366,0.0002060316,0.0002033918,0.018790073,4.839045137E-05
0.0001797323,0.000184693,0.0001969357,0.021166067,3.27851659768E-05
0.0001864398,0.0001969297,0.000200885,0.0200473399,0.00004074
0.000208314,0.0002004876,0.0001939167,0.0203680144,5.7048724468E-05
0.000181754,0.0001966452,0.0002107079,0.0203092543,3.85977767148E-05
0.0001925901,0.0001994929,0.0002026604,0.0202859308,4.62377308352E-05
0.0001820385,0.0001870522,0.000207059,0.0198404367,3.29367370228E-05
0.0002104865,0.0002033999,0.0002064396,0.0202381417,6.0274254568E-05
0.0002039247,0.0002007171,0.0002008587,0.0202754345,5.4043412248E-05
0.0002099281,0.0002088263,0.0001973176,0.0211480363,6.6764390744E-05
0.0002132137,0.0001887117,0.0002032337,0.0190327411,4.87795695676E-05
0.0002072331,0.0001823902,0.0001983905,0.0212094431,4.6318239312E-05
0.0002150323,0.0001959713,0.0002044115,0.0213634793,6.121192738E-05
0.0001956477,0.0002010649,0.0001985162,0.0184307482,4.4632527116E-05
0.000192127,0.0001780584,0.0001911519,0.0194263335,3.25611422388E-05
0.0002075445,0.000208245,0.0002099489,0.0199263677,6.0844674216E-05
0.0002077476,0.0002053127,0.0001831573,0.0190531254,5.6310559516E-05
0.0001998263,0.0001998321,0.0001936163,0.0189588375,4.75693909808E-05
0.0002041938,0.0001923182,0.0001956036,0.0193633318,0.000046497
0.0001907334,0.000199919,0.0002113357,0.0208085706,4.6566422282E-05
0.0001927885,0.000205499,0.0002056212,0.0192995149,4.77627978884E-05
0.0001896385,0.0001955129,0.0002052391,0.0193436722,0.000040227
0.0002033152,0.0001917627,0.0002141568,0.0198841021,4.6863131652E-05
0.000200582,0.0001842498,0.0001905078,0.0207763897,4.26789378752E-05
0.0002076389,0.0002157505,0.000190306,0.0185641591,6.2092797028E-05
0.0002129771,0.0002179421,0.0001966486,0.0196752414,7.14964258E-05
0.0001982557,0.0001893849,0.0002006575,0.0201166851,4.30316882732E-05
0.0001792205,0.0001980046,0.0001733293,0.0193110655,3.61726657144E-05
0.0002117487,0.0002043234,0.000211952,0.01999953,6.1128209044E-05
0.0001850232,0.0002047684,0.0001908352,0.0195746853,4.34877029932E-05
0.0002118885,0.0002008231,0.0002093931,0.0194919827,5.7210059656E-05
0.0001988389,0.0001805466,0.0002137146,0.0172255412,3.2892473356E-05
0.0002064273,0.0001957785,0.0001914677,0.0226086647,5.8245090032E-05
0.0001980799,0.0001879095,0.000200207,0.0206447113,4.31632583108E-05
0.0001900761,0.000219586,0.0001932742,0.0213853189,6.11370504304E-05
0.0001892245,0.0001928935,0.0001948723,0.018598306,3.71071681208E-05
0.0002050789,0.0001861264,0.0001946817,0.0188583625,0.000042192
0.0002031683,0.0001975735,0.0001929534,0.0206046749,5.2265112784E-05
0.0002044045,0.0001951679,0.000195068,0.0194687992,4.8644100412E-05
0.0001955688,0.0001895066,0.0002075772,0.0193847794,4.0116789712E-05
0.0001996886,0.0002042163,0.000200075,0.0200581614,0.000053108
0.0001866614,0.000198387,0.0001970692,0.0204819801,0.000042585
0.0002166147,0.0001947532,0.0001945228,0.0178927452,5.1577604312E-05
0.0001989931,0.0002034688,0.0002017377,0.0214149007,5.564126426E-05
0.000198568,0.0002044206,0.0002037533,0.0196396771,5.14461357692E-05
0.0002143902,0.0001865589,0.000188521,0.0209868873,5.30106091236E-05
0.0001981355,0.0001944045,0.000200523,0.0199225279,4.55408428036E-05
0.000185723,0.0002035983,0.000201426,0.0201445435,4.44353552224E-05
